
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
17,Sun,December 30,boxscore,St. Louis Rams,,Indianapolis Colts,42,17,483,1,261,1
17,Sun,December 30,boxscore,Buffalo Bills,@,New York Jets,14,9,368,1,375,3
17,Sun,December 30,boxscore,Dallas Cowboys,,San Francisco 49ers,27,21,420,0,285,1
17,Sun,December 30,boxscore,Arizona Cardinals,@,Carolina Panthers,30,7,331,0,318,2
17,Sun,December 30,boxscore,Seattle Seahawks,@,San Diego Chargers,25,22,307,0,398,2
,Sun,January 6,boxscore,Detroit Lions,,Dallas Cowboys,15,10,366,0,264,1
,Sun,January 6,boxscore,New England Patriots,@,Carolina Panthers,38,6,298,3,322,6
,Sun,January 6,boxscore,St. Louis Rams,,Atlanta Falcons,31,13,458,3,255,3
,Sun,January 6,boxscore,Cincinnati Bengals,@,Tennessee Titans,23,21,436,3,329,2
,Sun,January 6,boxscore,Washington Redskins,,Arizona Cardinals,20,17,340,1,187,1
,Sun,January 6,boxscore,New York Jets,@,Oakland Raiders,24,22,302,3,337,0
,Sun,January 6,boxscore,Chicago Bears,,Jacksonville Jaguars,33,13,322,1,237,3
,Sun,January 6,boxscore,San Francisco 49ers,@,New Orleans Saints,38,0,407,1,126,6
,Sun,January 6,boxscore,Pittsburgh Steelers,,Cleveland Browns,28,7,376,3,173,3
,Sun,January 6,boxscore,Seattle Seahawks,,Kansas City Chiefs,21,18,389,2,308,1
,Sun,January 6,boxscore,Miami Dolphins,,Buffalo Bills,34,7,289,0,250,3
,Sun,January 6,boxscore,Indianapolis Colts,,Denver Broncos,29,10,335,1,219,4
,Sun,January 6,boxscore,Philadelphia Eagles,@,Tampa Bay Buccaneers,17,13,296,2,236,2
,Sun,January 6,boxscore,Green Bay Packers,@,New York Giants,34,25,413,1,524,3
,Mon,January 7,boxscore,Baltimore Ravens,,Minnesota Vikings,19,3,351,0,179,4
,,Playoffs,,,,,,,,,,
