Year,Week,Day,Date,Winner,At,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Home,Away,WeekLabel,GameID
2001,13,Sun,2001-12-09,PHI,,SDG,24,14,273,1,393,4,PHI,SDG,13,PHI-SDG-2001-13
2001,13,Sun,2001-12-09,LAR,,SFO,27,14,385,2,220,2,LAR,SFO,13,LAR-SFO-2001-13
2001,13,Sun,2001-12-09,WAS,@,ARI,20,10,331,0,326,1,ARI,WAS,13,ARI-WAS-2001-13
2001,13,Sun,2001-12-09,TAM,,DET,15,12,356,2,253,1,TAM,DET,13,TAM-DET-2001-13
2001,13,Sun,2001-12-09,DAL,,NYG,20,13,289,0,245,2,DAL,NYG,13,DAL-NYG-2001-13
2001,13,Sun,2001-12-09,NOR,@,ATL,28,10,379,2,230,2,ATL,NOR,13,ATL-NOR-2001-13
2001,13,Sun,2001-12-09,BUF,,CAR,25,24,369,1,231,2,BUF,CAR,13,BUF-CAR-2001-13
2001,13,Sun,2001-12-09,GNB,,CHI,17,7,352,1,189,1,GNB,CHI,13,GNB-CHI-2001-13
2001,13,Sun,2001-12-09,NWE,,CLE,27,16,290,2,277,4,NWE,CLE,13,NWE-CLE-2001-13
2001,13,Sun,2001-12-09,JAC,@,CIN,14,10,255,1,200,1,CIN,JAC,13,CIN-JAC-2001-13
2001,13,Sun,2001-12-09,OAK,,KAN,28,26,264,5,447,1,OAK,KAN,13,OAK-KAN-2001-13
2001,13,Sun,2001-12-09,DEN,,SEA,20,7,309,2,277,2,DEN,SEA,13,DEN-SEA-2001-13
2001,13,Mon,2001-12-10,MIA,,IND,41,6,366,0,254,4,MIA,IND,13,MIA-IND-2001-13
2001,14,Sat,2001-12-15,NYG,,ARI,17,13,244,0,285,1,NYG,ARI,14,NYG-ARI-2001-14
2001,14,Sat,2001-12-15,OAK,@,SDG,13,6,299,3,274,3,SDG,OAK,14,SDG-OAK-2001-14
2001,14,Sun,2001-12-16,NWE,@,BUF,12,9,335,2,310,1,BUF,NWE,14,BUF-NWE-2001-14
2001,14,Sun,2001-12-16,PIT,@,BAL,26,21,476,0,207,1,BAL,PIT,14,BAL-PIT-2001-14
2001,14,Sun,2001-12-16,CHI,,TAM,27,3,379,1,238,4,CHI,TAM,14,CHI-TAM-2001-14
2001,14,Sun,2001-12-16,PHI,@,WAS,20,6,287,4,362,3,WAS,PHI,14,WAS-PHI-2001-14
2001,14,Sun,2001-12-16,DET,,MIN,27,24,369,1,314,2,DET,MIN,14,DET-MIN-2001-14
2001,14,Sun,2001-12-16,SFO,,MIA,21,0,285,0,174,4,SFO,MIA,14,SFO-MIA-2001-14
2001,14,Sun,2001-12-16,JAC,@,CLE,15,10,282,3,220,2,CLE,JAC,14,CLE-JAC-2001-14
2001,14,Sun,2001-12-16,TEN,,GNB,26,20,423,2,223,2,TEN,GNB,14,TEN-GNB-2001-14
2001,14,Sun,2001-12-16,SEA,,DAL,29,3,312,0,218,1,SEA,DAL,14,SEA-DAL-2001-14
2001,14,Sun,2001-12-16,NYJ,,CIN,15,14,309,0,248,3,NYJ,CIN,14,NYJ-CIN-2001-14
2001,14,Sun,2001-12-16,IND,,ATL,41,27,512,1,316,1,IND,ATL,14,IND-ATL-2001-14
2001,14,Sun,2001-12-16,KAN,,DEN,26,23,396,3,335,1,KAN,DEN,14,KAN-DEN-2001-14
2001,14,Mon,2001-12-17,LAR,@,NOR,34,21,365,2,310,2,NOR,LAR,14,NOR-LAR-2001-14
2001,15,Sat,2001-12-22,NWE,,MIA,20,13,313,0,368,3,NWE,MIA,15,NWE-MIA-2001-15
