Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
47,Darren Sproles,PHI,RB,0/0,0,0,0,48.4,221.2,1.4,47,392.4,1.3,80.5
48,James White,NWE,RB,0/0,0,0,0,34.3,139.1,1.1,31.4,290,1.2,54
49,Jerick McKinnon,MIN,RB,0/0,0,0,0,79.2,358.4,2.3,37.5,284.2,1,81.3
50,Christine Michael,SEA,RB,0/0,0,0,0,119,501.5,2.8,10.9,87.5,0.5,77.6
51,Kenneth Dixon*,BAL,RB,0/0,0,0,0,133.1,571,3.5,24.6,210,0.8,100.8
52,Alfred Morris,DAL,RB,0/0,0,0,0,95,400.5,2.5,3.9,28.8,0.1,57.5
53,Shane Vereen,NYG,RB,0/0,0,0,0,65.3,283.2,1.7,50.5,448,2.8,98.5
54,Javorius Allen,BAL,RB,0/0,0,0,0,23.5,96.9,0.7,24.7,192.8,0.8,36.4
55,Chris Thompson,WAS,RB,0/0,0,0,0,47.4,212.5,1.1,43,355.5,1.5,70.2
56,DeAndre Washington,OAK,RB,0/0,0,0,0,79.8,319.9,1.5,22.6,189.1,0.9,62.7
57,Charcandrick West,KAN,RB,0/0,0,0,0,54.7,220.7,2.5,13.3,105.5,0.4,48.9
58,C.J. Spiller,NOR,RB,0/0,0,0,0,50.8,219.2,1.2,47.6,350.3,1.5,72.7
59,Shaun Draughn,SFO,RB,0/0,0,0,0,85.1,324.1,1.9,42.6,309,1.1,78.4
60,Tim Hightower,NOR,RB,0/0,0,0,0,70.4,276.4,2.7,10,72.9,0.3,51
61,Ka'Deem Carey,CHI,RB,0/0,0,0,0,97.9,411.1,2.5,21.9,167.8,0.6,74.4
62,Jordan Howard,CHI,RB,0/0,0,0,0,98.3,397.5,3.3,13.8,102.9,0.4,69.8
63,Chris Johnson,ARI,RB,0/0,0,0,0,100.6,428.7,2.7,2.1,15.4,0.1,58.6
64,Justin Forsett,BAL,RB,0/0,0,0,0,94.8,432.4,2.3,16.6,111.5,0.4,70.4
65,C.J. Prosise,SEA,RB,0/0,0,0,0,59.1,245.1,1.6,29.3,241.6,1.2,63.8
66,Robert Kelley,WAS,RB,0/0,0,0,0,99.6,396.4,2.4,4.3,32.4,0.1,55.8
67,Reggie Bush,BUF,RB,0/0,0,0,0,69,291.9,1.8,16,119.7,0.6,55.5
68,Benjamin Cunningham,LAR,RB,0/0,0,0,0,38.3,158.4,1.2,23.9,192.3,0.5,43.9
69,Cameron Artis-Payne,CAR,RB,0/0,0,0,0,66.4,274,1.9,7.5,55.8,0.3,43.7
70,Lance Dunbar,DAL,RB,0/0,0,0,0,30.2,131.2,0.8,20.4,180.6,0.7,39.5
71,Orleans Darkwa,NYG,RB,0/0,0,0,0,63.7,270.5,1.8,3.1,23.9,0.1,39.7
72,Mike Gillislee,BUF,RB,0/0,0,0,0,55.2,233.5,1.8,6.6,48.5,0.2,38.6
73,D.J. Foster,NWE,RB,0/0,0,0,0,2,8.2,0.1,4.3,31.8,0.2,4.2
74,Wendell Smallwood,PHI,RB,0/0,0,0,0,7.3,28.9,0.2,6.6,49,0.2,8.1
75,Tyler Ervin,HOU,RB,0/0,0,0,0,56.4,227,1.6,12.5,92.4,0.4,44.2
76,Paul Perkins,NYG,RB,0/0,0,0,0,66.7,282,1.8,5.8,44.5,0.2,43
77,Dion Lewis*,NWE,RB,0/0,0,0,0,49.3,198.3,1.5,33.7,297.8,1.2,62.9
78,Kenyan Drake,MIA,RB,0/0,0,0,0,20.8,81.1,0.4,9.4,67.9,0.3,18.2
79,Zach Zenner,DET,RB,0/0,0,0,0,53.4,227.2,1.7,4.6,35.1,0.1,35.2
80,Robert Turbin,IND,RB,0/0,0,0,0,63.8,255.3,1.2,17.6,143.4,0.8,50.8
81,Andre Ellington,ARI,RB,0/0,0,0,0,41.9,175.7,1.1,16.6,143.6,0.7,40.7
82,Kenjon Barner,PHI,RB,0/0,0,0,0,64.2,271,1.8,4.7,35.8,0.1,40.7
83,Malcolm Brown,LAR,RB,0/0,0,0,0,12.8,52.1,0.4,3.4,25.5,0.1,9.7
84,Alfred Blue,HOU,RB,0/0,0,0,0,43.3,167,1.1,4.2,30.8,0.1,25.9
85,Brandon Bolden,NWE,RB,0/0,0,0,0,54.3,222.6,1.8,8.7,64.5,0.3,39.7
86,Josh Ferguson,IND,RB,0/0,0,0,0,24.8,95.9,0.4,8.7,64.6,0.3,19.2
87,Antonio Andrews,TEN,RB,0/0,0,0,0,20.3,82,0.6,3.5,26.8,0.1,14.3
88,Mike Davis,SFO,RB,0/0,0,0,0,31.7,121.5,0.8,8.4,61.1,0.2,23.5
89,Fozzy Whittaker,CAR,RB,0/0,0,0,0,19,77.5,0.5,7.5,55.8,0.3,16.9
