Player,OwnCode,Team,Pos,Action,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
T.J. Yates,FA,HOU,QB,,Chi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerrod Johnson,FA,DAL,QB,,NYG,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Weeden,FA,HOU,QB,,Chi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Moore*,FA,DAL,QB,,NYG,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Lindley,FA,IND,QB,,Det,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Davis,FA,DEN,QB,,Car,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Simms,FA,ATL,QB,,TB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Tanney,FA,TEN,QB,,Min,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Renfree,FA,ATL,QB,,TB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Dysert,FA,MIA,QB,,@Sea,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,FA,ARI,QB,,NE,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,FA,TAM,QB,,@Atl,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Bray,FA,KAN,QB,,SD,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater*,FA,MIN,QB,,@Ten,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Manziel,FA,CLE,QB,,@Phi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajh Boyd,FA,PIT,QB,,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Thomas,FA,NYG,QB,,@Dal,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Mettenberger,FA,PIT,QB,,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Fales,FA,CHI,QB,,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Wenning,FA,CIN,QB,,@NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Murray,FA,KAN,QB,,SD,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Blanchard,FA,CHI,QB,,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Vaughan,FA,PIT,QB,,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Shaw*,FA,CHI,QB,,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Petty,FA,NYJ,QB,,Cin,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Thompson,FA,LAR,QB,,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Grayson,FA,NOR,QB,,Oak,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,FA,LAR,QB,,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,FA,NYJ,QB,,Cin,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Kessler,FA,CLE,QB,,@Phi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Cook,FA,OAK,QB,,@NO,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale Jones,FA,BUF,QB,,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Hogan,FA,KAN,QB,,SD,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Sudfeld,FA,WAS,QB,,Pit,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Rudock,FA,DET,QB,,@Ind,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,FA,JAC,QB,,GB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,FA,CIN,QB,,@NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Doughty,FA,MIA,QB,,@Sea,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke*,FA,MIN,QB,,@Ten,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Morris,FA,IND,QB,,Det,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Gurley,BKN,LAR,RB,,@SF,Mon 10:20,0/0,0.0,0.0,0.0,20.6,91.7,0.8,2.5,21.1,0.1,16.4
Adrian Peterson,APE,MIN,RB,,@Ten,Sun 1:00,0/0,0.0,0.0,0.0,20.0,91.4,0.7,1.9,15.5,0.0,14.5
DeAngelo Williams,50%,PIT,RB,,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,17.3,83.7,0.5,3.0,22.2,0.1,13.8
Lamar Miller,FUNK,HOU,RB,,Chi,Sun 1:00,0/0,0.0,0.0,0.0,18.7,82.0,0.5,2.7,20.6,0.1,13.8
Devonta Freeman,SLIV,ATL,RB,,TB,Sun 1:00,0/0,0.0,0.0,0.0,15.8,59.3,0.5,4.2,34.5,0.2,13.4
LeSean McCoy,SLIV,BUF,RB,,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,16.7,72.1,0.6,2.7,20.0,0.1,13.3
Ezekiel Elliott,SCOT,DAL,RB,,NYG,Sun 4:25,0/0,0.0,0.0,0.0,16.0,71.9,0.5,2.6,21.8,0.1,12.8
David Johnson,50%,ARI,RB,,NE,Sun 8:30,0/0,0.0,0.0,0.0,14.4,58.4,0.4,3.9,35.5,0.2,12.7
Mark Ingram,BKN,NOR,RB,,Oak,Sun 1:00,0/0,0.0,0.0,0.0,15.1,63.2,0.6,3.2,21.5,0.1,12.4
Doug Martin,NOG,TAM,RB,,@Atl,Sun 1:00,0/0,0.0,0.0,0.0,17.2,78.3,0.4,2.1,16.2,0.1,12.2
Carlos Hyde,SLIV,SFO,RB,,LA,Mon 10:20,0/0,0.0,0.0,0.0,17.7,69.2,0.5,2.0,14.0,0.1,11.7
Latavius Murray,50%,OAK,RB,,@NO,Sun 1:00,0/0,0.0,0.0,0.0,14.1,66.6,0.4,2.3,18.0,0.1,11.3
Ryan Mathews,SCOT,PHI,RB,,Cle,Sun 1:00,0/0,0.0,0.0,0.0,14.6,71.0,0.5,1.4,11.4,0.0,11.1
Spencer Ware,SCOT,KAN,RB,,SD,Sun 1:00,0/0,0.0,0.0,0.0,12.8,60.3,0.6,1.2,9.2,0.0,10.9
DeMarco Murray,SLIV,TEN,RB,,Min,Sun 1:00,0/0,0.0,0.0,0.0,15.0,66.3,0.5,1.8,13.5,0.0,10.9
Frank Gore,SCOT,IND,RB,,Det,Sun 4:25,0/0,0.0,0.0,0.0,14.5,60.3,0.4,2.0,17.6,0.1,10.7
Jeremy Langford,SLIV,CHI,RB,,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,15.7,61.0,0.4,2.4,19.6,0.1,10.4
Eddie Lacy,50%,GNB,RB,,@Jax,Sun 1:00,0/0,0.0,0.0,0.0,14.4,59.9,0.4,1.9,15.5,0.1,10.3
Matt Forte,FUNK,NYJ,RB,,Cin,Sun 1:00,0/0,0.0,0.0,0.0,13.4,56.9,0.3,3.2,24.5,0.1,10.3
Ameer Abdullah,APE,DET,RB,,@Ind,Sun 4:25,0/0,0.0,0.0,0.0,12.4,55.5,0.3,2.4,19.8,0.1,9.8
Rashad Jennings,BKN,NYG,RB,,@Dal,Sun 4:25,0/0,0.0,0.0,0.0,13.0,56.8,0.3,2.1,17.0,0.1,9.8
C.J. Anderson,SCOT,DEN,RB,,Car,Thu 8:30,0/0,0.0,0.0,0.0,13.9,60.2,0.4,1.6,11.6,0.0,9.7
Christine Michael,FA,SEA,RB,,Mia,Sun 4:05,0/0,0.0,0.0,0.0,13.8,60.4,0.4,1.0,8.7,0.1,9.5
Jeremy Hill,BKN,CIN,RB,,@NYJ,Sun 1:00,0/0,0.0,0.0,0.0,14.0,51.7,0.4,1.2,8.5,0.0,8.5
Justin Forsett,LOS,BAL,RB,,Buf,Sun 1:00,0/0,0.0,0.0,0.0,11.6,54.2,0.3,1.6,10.2,0.0,8.5
Jonathan Stewart,NOG,CAR,RB,,@Den,Thu 8:30,0/0,0.0,0.0,0.0,14.4,55.5,0.3,1.2,7.9,0.0,8.3
Danny Woodhead,LOS,SDG,RB,,@KC,Sun 1:00,0/0,0.0,0.0,0.0,6.1,25.3,0.1,4.5,38.4,0.2,8.3
Melvin Gordon,BKN,SDG,RB,,@KC,Sun 1:00,0/0,0.0,0.0,0.0,13.9,55.2,0.2,2.2,13.6,0.1,7.9
Charcandrick West,FA,KAN,RB,,SD,Sun 1:00,0/0,0.0,0.0,0.0,8.3,35.9,0.4,1.9,16.1,0.1,7.9
Isaiah Crowell,FA,CLE,RB,,@Phi,Sun 1:00,0/0,0.0,0.0,0.0,12.2,50.5,0.3,1.0,7.7,0.0,7.8
Giovani Bernard,NOG,CIN,RB,,@NYJ,Sun 1:00,0/0,0.0,0.0,0.0,9.3,35.9,0.2,3.1,24.4,0.1,7.7
Theo Riddick,FA,DET,RB,,@Ind,Sun 4:25,0/0,0.0,0.0,0.0,3.9,16.6,0.1,4.4,40.2,0.2,7.6
Duke Johnson Jr.,NOG,CLE,RB,,@Phi,Sun 1:00,0/0,0.0,0.0,0.0,8.1,33.7,0.2,3.1,25.6,0.1,7.5
Matt Jones,FUNK,WAS,RB,,Pit,Mon 7:10,0/0,0.0,0.0,0.0,11.3,45.1,0.3,1.4,14.0,0.1,7.5
Chris Ivory,50%,JAC,RB,,GB,Sun 1:00,0/0,0.0,0.0,0.0,10.4,46.5,0.3,1.3,8.9,0.0,7.5
LeGarrette Blount,FA,NWE,RB,,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,13.6,56.5,0.3,0.3,1.9,0.0,7.4
Charles Sims,FA,TAM,RB,,@Atl,Sun 1:00,0/0,0.0,0.0,0.0,6.8,28.8,0.1,3.5,30.1,0.1,7.3
Derrick Henry,APE,TEN,RB,,Min,Sun 1:00,0/0,0.0,0.0,0.0,9.1,39.0,0.4,1.3,10.4,0.0,7.2
T.J. Yeldon,APE,JAC,RB,,GB,Sun 1:00,0/0,0.0,0.0,0.0,8.7,36.8,0.2,2.3,17.2,0.1,6.9
Darren Sproles,FA,PHI,RB,,Cle,Sun 1:00,0/0,0.0,0.0,0.0,5.0,24.6,0.2,2.8,26.2,0.1,6.9
Bilal Powell,FA,NYJ,RB,,Cin,Sun 1:00,0/0,0.0,0.0,0.0,8.5,36.0,0.2,2.5,17.7,0.1,6.6
Terrance West,FA,BAL,RB,,Buf,Sun 1:00,0/0,0.0,0.0,0.0,10.0,42.2,0.3,1.1,7.3,0.0,6.6
Shane Vereen,FA,NYG,RB,,@Dal,Sun 4:25,0/0,0.0,0.0,0.0,4.0,17.4,0.1,3.3,30.2,0.2,6.5
Tevin Coleman,FA,ATL,RB,,TB,Sun 1:00,0/0,0.0,0.0,0.0,8.4,33.3,0.3,1.4,10.7,0.0,6.4
Arian Foster,NOG,MIA,RB,,@Sea,Sun 4:05,0/0,0.0,0.0,0.0,8.9,33.0,0.2,2.3,16.6,0.1,6.3
Devontae Booker,FA,DEN,RB,,Car,Thu 8:30,0/0,0.0,0.0,0.0,8.4,33.5,0.3,1.4,9.9,0.0,6.0
Thomas Rawls,APE,SEA,RB,,Mia,Sun 4:05,0/0,0.0,0.0,0.0,7.4,35.5,0.2,0.6,5.3,0.0,5.7
James Starks,FA,GNB,RB,,@Jax,Sun 1:00,0/0,0.0,0.0,0.0,7.6,31.2,0.2,1.3,10.6,0.1,5.4
Jerick McKinnon,FA,MIN,RB,,@Ten,Sun 1:00,0/0,0.0,0.0,0.0,5.1,23.0,0.1,2.3,18.7,0.1,5.3
Shaun Draughn,FA,SFO,RB,,LA,Mon 10:20,0/0,0.0,0.0,0.0,6.0,22.2,0.1,2.5,18.1,0.1,5.2
James White,FA,NWE,RB,,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,2.8,10.9,0.1,3.4,30.5,0.1,5.1
DeAndre Washington,FA,OAK,RB,,@NO,Sun 1:00,0/0,0.0,0.0,0.0,5.0,22.5,0.1,1.7,15.9,0.1,4.9
C.J. Prosise,FA,SEA,RB,,Mia,Sun 4:05,0/0,0.0,0.0,0.0,4.6,19.8,0.2,1.7,14.9,0.1,4.8
Ka'Deem Carey,FA,CHI,RB,,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,6.6,26.5,0.1,1.5,10.4,0.0,4.7
C.J. Spiller,FA,NOR,RB,,Oak,Sun 1:00,0/0,0.0,0.0,0.0,3.3,14.1,0.1,2.9,21.3,0.1,4.6
Chris Thompson,FA,WAS,RB,,Pit,Mon 7:10,0/0,0.0,0.0,0.0,2.9,13.0,0.1,2.8,23.6,0.1,4.6
Robert Kelley,FA,WAS,RB,,Pit,Mon 7:10,0/0,0.0,0.0,0.0,6.9,27.6,0.2,0.3,2.2,0.0,4.0
